"camis","dba","boro","cuisine_description","inspection_date","action","critical_flag","score","grade","inspection_type","violation_description"
"50186563","MONTOYA'S","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50181164","PIZZA HUB","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50179780","SESH COMEDY","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50152298","MISTER CHICKEN II LLC","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50185506","MCDONALDS","Bronx",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184405","NEW LONG RIVER 168 INC.","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50088988","CITY ONE","Manhattan","Chinese","2023-08-31T00:00:00.000","Violations were cited in the following area(s).","Critical","15","B","Cycle Inspection / Re-inspection","Live roaches in facility's food or non-food area."
"50185236","ABVE CORP","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50165827","AB STABLE LLC","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50124544","LION'S GATE GRILL","Manhattan","Chinese","2024-07-18T00:00:00.000","Violations were cited in the following area(s).","Critical","12","A","Cycle Inspection / Initial Inspection","Hot TCS food item not held at or above 140 °F."
"50159007","UN (COFFEE STUDIO) D","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50179393","JETBLUE LOUNGE","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50148817","CAFE JEZERO","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50177284","WORLD SPA ENTERTAINMENT LLC","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50176348","THIRFT N SIP","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50176158","CHICKEN AT LAST","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50144825","DOUGHNUTTERY EVENTS.","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50149867","NICE DAY CHINESE BROOKLYN","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50135830","STUDIO DEM","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50186904","SOL Y SAZON","Bronx",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50143076","CHASE AD JFK","Queens","Continental","2024-02-07T00:00:00.000","Violations were cited in the following area(s).","Critical","13","A","Pre-permit (Operational) / Initial Inspection","Hot TCS food item not held at or above 140 °F."
"50186760","ASIA HARBOR ASIAN CUISINE INC","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"40536414","LA CABANA","Brooklyn","Latin American","2023-11-29T00:00:00.000","Violations were cited in the following area(s).","Critical","21",,"Cycle Inspection / Compliance Inspection","Live roaches in facility's food or non-food area."
"50068298","SUCCESS ACADEMY CHARTER SCHOOLS -BERGEN BEACH","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50178380","D APPETIZ","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50126672","YOWALLA, INC.","0",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50178748","YAFA","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50171132","LAMBS TSQ LLC","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50167164","BADABOOM","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"41693614","CIBO EXPRESS ATRIUM (CONCOURSE D)","Queens","American","2022-10-20T00:00:00.000","Violations were cited in the following area(s).","Not Critical","9","A","Cycle Inspection / Initial Inspection","Wash hands sign not posted near or above hand washing sink."
"50180736","POTWAH JERK PATTY","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50175276","WHOOPIE COMPANY","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50066129","GYRO CAFE","Brooklyn","Pakistani","2023-12-07T00:00:00.000","Establishment re-opened by DOHMH.","Not Applicable","0",,"Cycle Inspection / Reopening Inspection",
"50166544","SAINT","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50185257","LUNA DI PASTA & PIZZA","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50163421","MYSTTIK HOLIDAYS INC","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"41503108","TULCINGO RESTAURANT","Queens","Mexican","2024-04-15T00:00:00.000","Violations were cited in the following area(s).","Critical","40","C","Cycle Inspection / Re-inspection","Hot TCS food item not held at or above 140 °F."
"50107193","NUTRIPLATES","Queens","American","2026-06-24T00:00:00.000","Violations were cited in the following area(s).","Critical","12","A","Cycle Inspection / Re-inspection","Live roaches in facility's food or non-food area."
"50018604","MR. NOSH","Brooklyn","Fusion","2026-02-26T00:00:00.000","Establishment re-opened by DOHMH.","Not Applicable","0","Z","Cycle Inspection / Reopening Inspection",
"50178363","THE KOFTE HOUSE","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50172111","STOCKED BY THREE OWLS","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50183774","THE CORNER HOUSE","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184567","SEMSEMSHAWARAM","Staten Island",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50162887","A&S CATERERS","Staten Island",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184863","RIPPLE LABS","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184961","VIVA","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184270","OROVA","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50179740","MUMU LOUNGE","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50181056","ZIG ZAG OYSTER BAR","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50185226","GULCHATAY INC","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50115781","HK HALL","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50162697","SQUARE PIZZA INC","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50180321","GANGNAM BOX","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50175073","KUCHELA KUIZINE","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50185245","ATMF, INC.","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50187523","KATHERINE GOMEZ","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184861","LIVE LONG JUICE BAR LLC","Queens",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50184114","HI SUSHI 278 INC.","Staten Island",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50044594","HOT DOG CONCESSION","Manhattan","Hotdogs","2025-02-01T00:00:00.000","No violations were recorded at the time of this inspection.","Not Applicable","0","A","Cycle Inspection / Initial Inspection",
"50178815","XI'AN FAMOUS FOODS","Manhattan","Chinese","2026-01-16T00:00:00.000","Violations were cited in the following area(s).","Critical","10","A","Pre-permit (Operational) / Initial Inspection","Hot TCS food item not held at or above 140 °F."
"50180715","GREENPOINT COMEDY CLUB","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50178097","AUNTIE ANNE'S SRU","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50179505","BAKED CHEESE HAUS LTD","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50142154","LOONYS JUICE & SALAD","Brooklyn",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50123426","PUBLIC FARE - DELACORTE THEATER","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
"50176081","DIPPIN' CHICKEN","Manhattan",,"1900-01-01T00:00:00.000",,"Not Applicable",,,,
